cpf;dn;nome;sexo;dataNascimento;nomeMae;cns;logradouro;numero;ds_complemento;bairro;codigoMunicipio;codigoMunicipioResidencia;cep;tipoEndereco;resideExterior;codigoBeneficiario;relacaoDependencia;dataContratacao;numeroPlanoANS;coberturaParcialTemporaria;itensExcluidosCobertura;cco;tipo_movimentacao;dataCancelamento;motivoCancelamento;codigoProcedimentoAdministrativo
25814796325;;Rafael Augusto Dias;1;1989-10-31;Lúcia Dias;258147963012345;Rua da Glória;852;;Glória;3550308;;01410000;2;0;BEN025;1;10/09/2025;504487251;0;0;CCO025;1;;;
36925814736;;Isabel Cristina Monteiro;3;1977-06-28;Eliane Monteiro;369258147012345;Avenida 9 de Julho;963;;Jardim Paulista;3550308;;01406000;1;0;BEN026;1;20/10/2025;504487251;0;0;CCO026;1;;;
74136925847;;Leonardo Martins Rocha;1;1981-03-03;Sueli Martins Rocha;741369258012345;Rua Pamplona;159;;Jardim Paulista;3550308;;01405000;2;0;BEN027;1;01/11/2025;504487251;0;0;CCO027;1;;;
96374125859;;Vanessa Alves Nunes;3;1996-08-09;Rita Alves Nunes;963741258012345;Alameda Ministro Rocha Azevedo;357;;Cerqueira César;3550308;;01410000;2;0;BEN028;1;15/12/2025;504487251;0;0;CCO028;1;;;
85296374168;;Sérgio Ricardo Moreira;1;1969-04-23;Helena Moreira;852963741012345;Rua Augusta;753;;Consolação;3550308;;01305000;2;0;BEN029;1;01/01/2026;504487251;0;0;CCO029;1;;;
15985296347;;Larissa Costa Fernandes;3;1990-12-07;Paula Costa Fernandes;159852963012345;Avenida São Luís;147;;República;3550308;;01309000;1;0;BEN030;1;10/02/2026;504487251;0;0;CCO030;1;;;
12345678900;;EXEMPLO RETIFICAÇÃO;1;1985-06-15;Mãe Exemplo;123456789000001;Rua Exemplo;999;Retificação;Bairro Exemplo;3550308;;01234000;2;0;BEN031;1;01/01/2024;504487251;0;0;CCO031;2;;;987654321000001
23456789012;;EXEMPLO CANCELAMENTO;3;1990-03-20;Mãe Cancelamento;234567890000002;Av. Cancelamento;888;;Bairro Cancelamento;3550308;;02345000;2;0;BEN032;1;15/05/2023;504487251;0;0;CCO032;5;31/12/2025;44;
34567890123;;EXEMPLO MUDANÇA;1;1978-09-10;Mãe Mudança;345678901000003;Rua Mudança;777;Mudança;Bairro Mudança;3550308;;03456000;2;0;BEN033;1;01/07/2023;504487251;1;0;CCO033;4;;;
45678901234;;EXEMPLO DEPENDENTE;3;2015-02-14;Mãe Dependente;456789012000004;Rua Dependente;666;;Bairro Dependente;3550308;;04567000;2;0;BEN034;4;20/08/2023;504487251;0;1;CCO034;1;;;
